RunID,Tel,AbsGainMean,AbsGainErr,run_type,Time
50194,0,6.478476217687079,0.025506223242760133,flasher,2010-02-24 08:52:58
50194,1,6.274168184300342,0.047655847163648374,flasher,2010-02-24 08:52:58
50194,2,6.204503290540543,0.015079381828807562,flasher,2010-02-24 08:52:58
50194,3,6.326451083892614,0.02038629276719501,flasher,2010-02-24 08:52:58
50664,0,6.368122765306119,0.02587983183982754,flasher,2010-03-24 09:22:46
50664,1,6.172682505050505,0.04722162847087309,flasher,2010-03-24 09:22:46
50664,2,6.140735569023573,0.014300076264924131,flasher,2010-03-24 09:22:46
50664,3,6.351675553691276,0.020616238566694645,flasher,2010-03-24 09:22:46
52581,0,7.059526594594596,0.02410521173567606,flasher,2010-10-14 07:51:30
52581,1,7.305518362068968,0.05413249731573581,flasher,2010-10-14 07:51:30
52581,2,6.5188790777027,0.018142682286030033,flasher,2010-10-14 07:51:30
52581,3,6.206285610738248,0.019280173271257823,flasher,2010-10-14 07:51:30
53678,0,6.735695074324327,0.024770974446287446,flasher,2010-12-07 11:55:59
53678,1,6.441773177474403,0.048625420806633145,flasher,2010-12-07 11:55:59
53678,2,6.326805212837841,0.01715344020376552,flasher,2010-12-07 11:55:59
53678,3,6.57805786195286,0.02139631492945388,flasher,2010-12-07 11:55:59
54242,0,6.421291372881355,0.02322369948670355,flasher,2011-01-06 05:01:58
54242,1,6.663788877133105,0.04818543002794829,flasher,2011-01-06 05:01:58
54242,2,6.455391848484844,0.017009637228523968,flasher,2011-01-06 05:01:58
54242,3,6.438460121212123,0.021570229272610486,flasher,2011-01-06 05:01:58
54588,0,6.348091783050844,0.022214580784429627,flasher,2011-01-27 05:30:27
54588,1,6.531888430508473,0.044862381166654204,flasher,2011-01-27 05:30:27
54588,2,6.339157969387759,0.015651409216788422,flasher,2011-01-27 05:30:27
54588,3,6.338427327702703,0.02015150284327566,flasher,2011-01-27 05:30:27
54791,0,6.381221952542375,0.022030599840114354,flasher,2011-02-03 08:45:58
54791,1,6.580330472602741,0.04699084100923497,flasher,2011-02-03 08:45:58
54791,2,6.362277263513509,0.01637136252262326,flasher,2011-02-03 08:45:58
54791,3,6.271816043918918,0.02074337619018428,flasher,2011-02-03 08:45:58
55069,0,6.301837033783786,0.022695654424718804,flasher,2011-02-12 10:55:21
55069,1,6.4990925627118665,0.04496866627422459,flasher,2011-02-12 10:55:21
55069,2,6.3002611919191915,0.01541294485849425,flasher,2011-02-12 10:55:21
55069,3,6.310662501683502,0.020352318709183567,flasher,2011-02-12 10:55:21
55252,0,6.298147477815699,0.022134861004837105,flasher,2011-03-01 07:34:15
55252,1,6.498795972789118,0.045624720056596825,flasher,2011-03-01 07:34:15
55252,2,6.305715454545463,0.016390195318591462,flasher,2011-03-01 07:34:15
55252,3,6.190464439597313,0.022316569734467398,flasher,2011-03-01 07:34:15
55378,0,6.293066877966103,0.021557857722357757,flasher,2011-03-05 08:36:52
55378,1,6.495272870748296,0.045889109663585954,flasher,2011-03-05 08:36:52
55378,2,6.235085740740742,0.015556697992668823,flasher,2011-03-05 08:36:52
55378,3,6.304611080808079,0.020536511721580195,flasher,2011-03-05 08:36:52
55897,0,6.212349278911568,0.022266938858514513,flasher,2011-04-01 06:17:30
55897,1,6.373380291095892,0.046086159196378554,flasher,2011-04-01 06:17:30
55897,2,6.338250601351353,0.016786836566087412,flasher,2011-04-01 06:17:30
55897,3,6.372100144781145,0.01912332845166145,flasher,2011-04-01 06:17:30
56030,0,6.224478931972789,0.021505356296371732,flasher,2011-04-05 06:27:39
56030,1,6.399399542372884,0.04654962059324181,flasher,2011-04-05 06:27:39
56030,2,6.374894279461278,0.017052821275464966,flasher,2011-04-05 06:27:39
56030,3,6.361477199324321,0.019221359246531195,flasher,2011-04-05 06:27:39
56051,0,6.298731105442177,0.022048053764051802,flasher,2011-04-06 05:19:04
56051,1,6.3853514470989765,0.04510657593667223,flasher,2011-04-06 05:19:04
56051,2,6.425509976351352,0.01650834343816584,flasher,2011-04-06 05:19:04
56051,3,6.417067999999998,0.019301600655222732,flasher,2011-04-06 05:19:04
56149,0,6.210652108843538,0.021314721758511384,flasher,2011-04-11 08:24:14
56149,1,6.370928057823128,0.04579378021883086,flasher,2011-04-11 08:24:14
56149,2,6.370229283783786,0.01719015636840732,flasher,2011-04-11 08:24:14
56149,3,6.324719453020133,0.018488430985505105,flasher,2011-04-11 08:24:14
56164,0,6.186177646258496,0.021154647874730252,flasher,2011-04-12 09:00:15
56164,1,6.384143391156463,0.047552495598663945,flasher,2011-04-12 09:00:15
56164,2,6.351875256756757,0.016629481392710366,flasher,2011-04-12 09:00:15
56164,3,6.330132949494948,0.018924994444130552,flasher,2011-04-12 09:00:15
56955,0,6.144208105442177,0.021125869941632253,flasher,2011-05-31 05:57:02
56955,1,6.375242220338988,0.047905356966416304,flasher,2011-05-31 05:57:02
56955,2,6.304737176271188,0.01682401557698364,flasher,2011-05-31 05:57:02
56955,3,6.3406664478114525,0.019730041249004803,flasher,2011-05-31 05:57:02
57454,0,6.175736853242319,0.02214401153990649,flasher,2011-07-02 04:59:47
57454,1,6.346506525597268,0.04555979624585527,flasher,2011-07-02 04:59:47
57454,2,6.304193545454545,0.01700211694656598,flasher,2011-07-02 04:59:47
57454,3,6.375949683501682,0.019643137905323738,flasher,2011-07-02 04:59:47
57714,0,6.171957119047618,0.021626517047513234,flasher,2011-09-24 08:38:51
57714,1,6.315174356902357,0.047599485726637795,flasher,2011-09-24 08:38:51
