RunID,Tel,AbsGainMean,AbsGainErr,Time,Type
71406,0,5.184999444444445,0.00934778576086146,2014-01-01 08:35:50,STD
71406,1,5.1415316086956535,0.010520143500194123,2014-01-01 08:35:50,STD
71406,2,5.089591190635451,0.008415783899996164,2014-01-01 08:35:50,STD
71406,3,5.358842177257527,0.00883733219819189,2014-01-01 08:35:50,STD
71456,0,5.138482420875426,0.008890293251312135,2014-01-03 06:08:19,STD
71456,1,5.064680434782608,0.00957404055368807,2014-01-03 06:08:19,STD
71456,2,5.0285525,0.008647685642504484,2014-01-03 06:08:19,STD
71456,3,5.298103384615385,0.008487596074099279,2014-01-03 06:08:19,STD
71482,0,5.189397628378374,0.008904131902551418,2014-01-04 07:46:40,STD
71482,1,5.117878036789295,0.00958239048462312,2014-01-04 07:46:40,STD
71482,2,5.174154989966556,0.009625512851598735,2014-01-04 07:46:40,STD
71482,3,5.379412949832772,0.008767015641645103,2014-01-04 07:46:40,STD
71503,0,5.3091761351351385,0.00951804964071584,2014-01-06 09:21:41,STD
71503,1,5.273171428093644,0.01045946801486227,2014-01-06 09:21:41,STD
71503,2,5.159140866220737,0.00876144175970873,2014-01-06 09:21:41,STD
71503,3,5.565496729096989,0.009783138782744965,2014-01-06 09:21:41,STD
71531,0,5.223704550675676,0.009502125821755341,2014-01-07 08:42:10,STD
71531,1,5.192989585284286,0.01047156987449354,2014-01-07 08:42:10,STD
71531,2,5.11816173578595,0.008838114950718507,2014-01-07 08:42:10,STD
71531,3,5.421122173913044,0.00930808060206655,2014-01-07 08:42:10,STD
71591,0,5.3219513040540525,0.010160049124602959,2014-01-10 09:59:55,FILTER
71591,1,5.256232652173911,0.01088052692117117,2014-01-10 09:59:55,FILTER
71591,2,5.2825090501672225,0.010916276175627472,2014-01-10 09:59:55,FILTER
71591,3,5.570802781879194,0.010122075849053249,2014-01-10 09:59:55,FILTER
71662,0,5.205743885135135,0.00943980402049368,2014-01-12 12:24:58,STD
71662,1,5.164341598662205,0.01063858521925075,2014-01-12 12:24:58,STD
71662,2,5.212421280936454,0.009665933333538846,2014-01-12 12:24:58,STD
71662,3,5.483806677852348,0.010286416368775168,2014-01-12 12:24:58,STD
71673,0,5.407739891891893,0.01018152175555087,2014-01-13 12:13:23,STD
71673,1,5.376045993311036,0.010831991412867736,2014-01-13 12:13:23,STD
71673,2,5.262910785953177,0.008867017886617382,2014-01-13 12:13:23,STD
71673,3,5.703556637583892,0.010807929218139087,2014-01-13 12:13:23,STD
71762,0,5.196793144781147,0.009501470064757938,2014-01-23 03:38:32,STD
71762,1,5.12877751839465,0.009274433975816471,2014-01-23 03:38:32,STD
71762,2,5.093717381270902,0.009166817978526393,2014-01-23 03:38:32,STD
71762,3,5.340133010033443,0.00971042813646112,2014-01-23 03:38:32,STD
71798,0,5.309157543624161,0.00922118388122452,2014-01-26 02:09:36,STD
71798,1,5.222814006688964,0.00994543782445388,2014-01-26 02:09:36,STD
71798,2,5.293217651006712,0.009226133404908904,2014-01-26 02:09:36,STD
71798,3,5.5470082006688965,0.009629092977816238,2014-01-26 02:09:36,STD
71837,0,5.181993983277594,0.009106941237365322,2014-01-27 07:05:21,STD
71837,1,5.114000742474915,0.009933114399926037,2014-01-27 07:05:21,STD
71837,2,5.123836284280934,0.00946817292882181,2014-01-27 07:05:21,STD
71837,3,5.365754996655522,0.009623396949463877,2014-01-27 07:05:21,STD
71849,0,5.193742218120807,0.009062328894055487,2014-01-28 04:58:30,STD
71849,1,5.133865819397995,0.00978868868793303,2014-01-28 04:58:30,STD
71849,2,5.186219775919732,0.009318419601743979,2014-01-28 04:58:30,STD
71849,3,5.51743574916388,0.009860426410864029,2014-01-28 04:58:30,STD
71878,0,5.176333785953176,0.00929212037492101,2014-01-29 07:48:48,STD
71878,1,5.152463013422818,0.010232189363551723,2014-01-29 07:48:48,STD
71878,2,5.04172546153846,0.008624436526546006,2014-01-29 07:48:48,STD
71878,3,5.488424678929767,0.009804878545861043,2014-01-29 07:48:48,STD
71896,0,5.1134553513513525,0.008838670826746034,2014-01-30 05:42:23,STD
71896,1,5.088744530201338,0.009970764483388834,2014-01-30 05:42:23,STD
71896,2,5.069470318791941,0.008659123298701315,2014-01-30 05:42:23,STD
71896,3,5.408825387959865,0.009822986068986194,2014-01-30 05:42:23,STD
71914,0,5.136108167785231,0.009215501797872479,2014-01-31 03:19:45,STD
71914,1,5.0519785284280925,0.009265198726095821,2014-01-31 03:19:45,STD
71914,2,5.126051939799329,0.009052526387741214,2014-01-31 03:19:45,STD
71914,3,5.427979564189188,0.00952420385777336,2014-01-31 03:19:45,STD
71935,0,5.123111568561874,0.008983176035619905,2014-02-01 06:37:08,STD
71935,1,5.153495725752506,0.00982729865839302,2014-02-01 06:37:08,STD
71935,2,5.010855580536917,0.008293433556046692,2014-02-01 06:37:08,STD
71935,3,5.508362565217388,0.009613612946377534,2014-02-01 06:37:08,STD
71955,0,5.3064468590604035,0.010096419401313938,2014-02-02 11:17:29,STD
71955,1,5.253594374581941,0.010942335838408809,2014-02-02 11:17:29,STD
71955,2,5.258641668896324,0.00965791966441915,2014-02-02 11:17:29,STD
71955,3,5.597272100671141,0.010543918465741072,2014-02-02 11:17:29,STD
71967,0,5.260362101351356,0.009631032938467836,2014-02-03 07:52:52,STD
71967,1,5.210205406040268,0.010640953315454628,2014-02-03 07:52:52,STD
71967,2,5.102256714765104,0.008831475725007662,2014-02-03 07:52:52,STD
71967,3,5.541623317567566,0.010242617258040584,2014-02-03 07:52:52,STD
