# #MJD, AbsGain, AbsGainErr
5.456607593749999796e+04, 6.516454406000008248e+00, 3.523103228213016191e-02
5.456607724537036847e+04, 6.609807754000000202e+00, 3.521074725008766643e-02
5.456607854166666948e+04, 1.839559379999999678e+01, 5.603791324787640304e-01
5.456607971064814774e+04, 7.773657114000006807e+00, 7.135510363820574131e-02
5.456608055555555620e+04, 2.183094714759999420e+02, 4.154270037257994773e+03
5.456608214120370394e+04, 7.074835259999999515e+00, 4.693461987479998626e-02
5.456608335648148204e+04, 6.681037654000000714e+00, 3.597606814565666028e-02
5.456608469907407562e+04, 6.997359707999998513e+00, 4.180704940781818091e-02
5.456608597222222306e+04, 6.653606778000004773e+00, 3.669573554063718102e-02
5.456608729166666308e+04, 6.695898618000006408e+00, 3.585684633971885499e-02
5.456608859953703359e+04, 8.291515194000000477e+00, 1.007850194648109848e-01
5.456608990740740410e+04, 6.693550873999996931e+00, 3.707117218053643248e-02
5.456609121527777461e+04, 6.693864957999999810e+00, 3.663045116396843048e-02
5.456609252314814512e+04, 6.716497848000000381e+00, 3.665002377266851630e-02
5.456609383101851563e+04, 1.945652649639999936e+02, 8.425009354534855888e+00
5.456609515046296292e+04, 6.738114450000000311e+00, 3.768933383186302138e-02
5.456609650462962600e+04, 6.769612664000001168e+00, 3.593810428092170106e-02
5.456609898148148204e+04, 6.864074080000003519e+00, 1.486394261723843896e-02
5.456610288194444729e+04, 7.059572203999996631e+00, 5.056400785947896825e-02
5.456610412037037167e+04, 6.829430369999989203e+00, 4.395748479785682727e-02
5.456610538194444234e+04, 7.000400804000003419e+00, 4.444533774369086032e-02
5.456611027777777781e+04, 6.793299290000005541e+00, 3.918774000693038551e-02
5.456611177083333314e+04, 7.549340060000005792e+00, 6.199210234863247737e-02
5.456611313657407300e+04, 7.410427795999996015e+00, 4.743009378464946302e-02
5.456611445601852029e+04, 7.847164715999999096e+00, 6.080106050820223572e+03
5.456611575231481402e+04, 7.482949858000001342e+00, 4.956020245338247504e-02
5.456611709490740759e+04, 7.094796315999993830e+00, 4.487436986766075303e-02
5.456611836805555504e+04, 7.066153947999999296e+00, 4.531213793672427687e-02
5.456611969907407183e+04, 7.570090044000003182e+00, 4.952541074017855621e-02
5.456612105324074219e+04, 6.819653980000000004e+00, 3.733664205856856988e-02
5.456612237268518220e+04, 6.693917031999998102e+00, 3.612802130910736098e-02
5.456612365740740643e+04, 7.021758637999997887e+00, 4.367153819851350705e-02
5.456612493055555387e+04, 7.335315217999998083e+00, 4.846171336757026243e-02
5.456612622685185488e+04, 6.959988343999997440e+00, 4.057244898897691132e-02
5.456612753472222539e+04, 6.878203249999996771e+00, 3.870204150866200093e-02
5.456612914351851941e+04, 8.744901833999996654e+00, 7.622461910430085308e-02
5.456613040509259008e+04, 7.683332015999996045e+00, 5.447633459626646801e-02
5.456613167824073753e+04, 7.638773179999993168e+00, 5.404947065701391079e-02
5.456613299768518482e+04, 6.953397019999997930e+00, 3.953984920190566771e-02
5.456613431712963211e+04, 6.751036066000003721e+00, 3.824356005430380734e-02
5.456613567129629519e+04, 8.171122044000002305e+00, 8.147013148633058810e-02
5.456613703703703504e+04, 6.971824005999999407e+00, 3.952594352844168712e-02
5.456613837962962862e+04, 6.708628619999997156e+00, 3.784835975679862879e-02
5.456613973379629897e+04, 7.286334585999995284e+00, 4.862537042657872483e-02
5.456614106481481576e+04, 6.822289669999997308e+00, 3.947115765637112389e-02
5.456614241898147884e+04, 6.780839277999998416e+00, 3.783074599761495488e-02
5.456614378472221870e+04, 8.130922057999995900e+00, 7.116983444354013644e-02
5.456614515046296583e+04, 6.851546895999997666e+00, 3.784690054539328885e-02
5.456614652777777519e+04, 7.978666606000005324e+00, 6.721741794291991035e-02
5.456614787037036876e+04, 6.689640613999998209e+00, 3.658380727081707307e-02
5.456614920138888556e+04, 6.898928458000000319e+00, 3.980330752252583815e-02
5.456615053240740963e+04, 6.981330488000001999e+00, 3.898827190399722920e-02
5.456615186342592642e+04, 6.911273504000011059e+00, 4.041795827188544854e-02
5.456615442129629810e+04, 7.739270444000001525e+00, 7.456605409838640286e-02
5.456615581018518424e+04, 7.054863937999998669e+00, 3.975174976225268053e-02
5.456615712962963153e+04, 9.290817873999998255e+00, 8.284714983496102580e-02
5.456615844907407154e+04, 1.171296567600000493e+01, 1.317917114642813414e-01
5.456615976851851883e+04, 7.031910249999998364e+00, 3.976806643907230404e-02
5.456616109953703562e+04, 6.863969305999999548e+00, 3.832593993870051646e-02
5.456616241898148292e+04, 7.254620576000000653e+00, 4.117199679585472477e-02
5.456616373842592293e+04, 7.104636834000001677e+00, 4.060733555093733183e-02
5.456616506944444700e+04, 6.943720892000015077e+00, 3.928621332658265020e-02
5.456616637731481751e+04, 7.054870208000002307e+00, 4.131315886867997778e-02
