# #MJD, AbsGain, AbsGainErr
5.456593677083333023e+04, 7.992379690000004366e+00, 8.841006403769816058e-02
5.456593810185185430e+04, 7.815261598000000198e+00, 7.166102911117777641e-02
5.456593924768518627e+04, 1.065838807399997989e+01, 2.023292386264041454e-01
5.456594035879629519e+04, 7.268268834000001455e+00, 3.948094460946609263e-02
5.456594143518518831e+04, 1.809054029863999858e+03, 5.008268489691448631e+05
5.456594310185185168e+04, 6.601404128000003091e+00, 3.628383726411393839e-02
5.456594447916666832e+04, 6.863563941999995421e+00, 3.915290298063654750e-02
5.456594581018518511e+04, 7.141577334000001720e+00, 4.814632237734116360e-02
5.456594715277777868e+04, 6.784714282000003038e+00, 4.115687842208172464e-02
5.456594849537037226e+04, 6.854685203999997256e+00, 3.807872528764128656e-02
5.456595078703703621e+04, 7.015453671999999585e+00, 4.767549837764749332e-02
5.456595304398148437e+04, 7.033360476000003914e+00, 4.617057333179809542e-02
5.456595537037037138e+04, 6.616021572000000184e+00, 3.619589001344038909e-02
5.456595770833333518e+04, 8.601782820000002161e+00, 9.818581505603775350e-02
5.456595993055555300e+04, 6.598752340000001659e+00, 3.618488224018789196e-02
5.456596196759259328e+04, 1.905720784399998990e+01, 4.183334842801496589e-01
5.456596606481481285e+04, 1.978993043419999651e+02, 8.402310074989584265e+00
5.456597060185185546e+04, 6.546965980000003960e+00, 4.112113529543792723e-02
5.456597253472221928e+04, 6.942350920000004422e+00, 4.571881680859918307e-02
5.456597452546295972e+04, 7.850421177999991507e+00, 6.581256779652172595e-02
5.456597655092592322e+04, 7.018365779999997223e+00, 4.344156061667461821e-02
5.456597864583333285e+04, 2.733735540599998259e+01, 9.323108691722289398e-01
5.456598053240740410e+04, 9.958969423999999293e+00, 9.563542272333674932e-02
5.456598243055555213e+04, 7.266953722000006444e+00, 4.449552043596744638e-02
5.456598456018518482e+04, 7.258281709999995890e+00, 4.559280189558233970e-02
5.456598638888888672e+04, 6.838055495999990185e+00, 3.881390905940065861e-02
5.456598844907407329e+04, 7.731310058000002705e+00, 6.113333282002385294e-02
5.456599053240740614e+04, 7.865733624000005086e+00, 7.494572751247423337e-02
5.456599241898148466e+04, 6.730289920000001480e+00, 3.649095385782741979e-02
5.456599423611110979e+04, 6.954326996000000705e+00, 3.999903577709754826e-02
5.456599613425925781e+04, 7.579656099999993124e+00, 5.543043108507317296e-02
5.456599795138889021e+04, 1.963005193200000420e+01, 5.996690588232449493e-01
5.456599981481481518e+04, 1.196978823599998520e+01, 1.750471029003364265e-01
5.456600178240740934e+04, 1.961551144020000379e+02, 8.431554664381401665e+00
5.456600372685184993e+04, 7.522875371999995231e+00, 5.331059393407298896e-02
5.456600572916666715e+04, 7.046828742000000645e+00, 4.111017510177900763e-02
5.456600756944444583e+04, 7.437385989999994784e+00, 5.551116642565540049e-02
5.456600972222222481e+04, 8.496103339999995896e+00, 8.037138333340990148e-02
5.456601180555555766e+04, 7.440080473999994837e+00, 5.034017168002113962e-02
5.456601390046296001e+04, 9.924106601999996613e+00, 1.236216727577197361e-01
5.456601598379629286e+04, 8.388557479999995792e+00, 9.222579197681141094e-02
5.456601807870370249e+04, 9.057685167999995457e+00, 1.277054151018635619e-01
5.456602018518518162e+04, 6.541267813999996683e+00, 3.645464201046789976e-02
5.456602232638889109e+04, 9.643906732000001369e+00, 1.531591472754593175e-01
5.456602439814814716e+04, 1.077606073999999481e+01, 1.244042450499990293e-01
5.456602644675925694e+04, 9.281454326000014632e+00, 1.107563360266515529e-01
5.456602833333333547e+04, 6.721186067999995295e+00, 4.440297783745090349e-02
5.456603011574073753e+04, 8.185924853999997808e+00, 8.250525792073951092e-02
5.456603206018518540e+04, 6.887749458000000047e+00, 4.013234385715040708e-02
5.456603402777777956e+04, 1.072384802600000775e+01, 1.586197258425908196e-01
5.456603776620370627e+04, 1.083187436800000469e+01, 2.034219732513224410e-01
5.456603966435185430e+04, 8.867081624000000772e+00, 1.177786806502256339e-01
5.456604151620370249e+04, 1.689753077520000488e+02, 4.207372697736557754e+00
5.456604339120370423e+04, 1.001320799600000022e+01, 9.536767016481348391e-02
5.456604527777777548e+04, 7.320730350000004272e+00, 4.592764194123202109e-02
5.456604717592592351e+04, 1.973853820880001422e+02, 8.425978969551776387e+00
5.456604908564814832e+04, 7.552922778000001891e+00, 5.374481842707543033e-02
5.456605093749999651e+04, 8.510150025999998036e+00, 9.942483527301101964e-02
5.456605277777777519e+04, 4.924025739999999729e+01, 1.065036845491783124e+00
5.456605462962963065e+04, 1.086638947199999805e+01, 2.140919421222778618e-01
5.456605649305555562e+04, 7.441111814000007207e+00, 5.029444399168082891e-02
5.456605835648148059e+04, 7.211120744000000471e+00, 4.376932977551423187e-02
5.456606021990740555e+04, 8.877344162000005312e+00, 1.085868305044911802e-01
5.456606206018518424e+04, 6.990030784000004438e+00, 4.448585044100401148e-02
5.456606565972221870e+04, 9.865984703999991723e+00, 9.194809652318328141e-02
5.456606741898148175e+04, 7.234175260000003327e+00, 4.228553474405903623e-02
5.456606915509259125e+04, 7.358696185999995976e+00, 4.313666110569472356e-02
5.456607101851851621e+04, 9.300141355999997472e+00, 9.175507753453578108e-02
5.456607290509259474e+04, 7.204596419999997003e+00, 4.274106702543531422e-02
5.456607469907407358e+04, 3.890347662000002149e+00, 1.498153931973581279e-02
5.435492114583333023e+04, 3.970853440000000845e+00, 2.072783675275426812e-02
5.435572138888888730e+04, 8.573992037999998317e+00, 3.352873474633584483e-02
5.435712348379629839e+04, 8.400186919999990565e+00, 5.170181025862283231e-02
5.435792403935184848e+04, 2.338281123279999520e+03, 1.582615513656886463e+01
5.435902078703703592e+04, 8.108263832000002225e+00, 5.699947944009936540e-02
5.436273596064814774e+04, 2.046678690400000278e+01, 6.110596805448593738e-01
5.436292043981481402e+04, 5.407228293600002189e+01, 1.375209811487982048e+00
