# #MJD, AbsGain, AbsGainErr
5.456629053240740905e+04, 5.474458299999991340e+00, 3.099465298725988249e-02
5.456629210648148000e+04, 1.439298832999999256e+01, 1.502162075784348461e-01
5.456629423611111270e+04, 5.563140998000000614e+00, 4.279867098431280881e-02
5.456629549768518336e+04, 6.608394596000006338e+00, 7.852366774787025716e-02
5.456629878472222481e+04, 5.218364356000004811e+00, 2.971490036398570858e-02
5.456630028935184964e+04, 5.455557803999996125e+00, 3.368058163508631797e-02
5.456630165509258950e+04, 5.255829297999997429e+00, 2.638188343070036260e-02
5.456630297453703679e+04, 5.256968389999999935e+00, 2.840577932982831996e-02
5.456630425925926102e+04, 5.685330647999997211e+00, 3.479614671859309477e-02
5.456630562500000087e+04, 5.243545520000004956e+00, 2.441599584632683784e-02
5.456630695601851767e+04, 5.285600193999999696e+00, 2.856943336075211046e-02
5.456630828703703446e+04, 5.368005299999993873e+00, 2.761115446828433032e-02
5.456630965277777432e+04, 5.330911887999997489e+00, 2.606145836753235787e-02
5.456631101851852145e+04, 5.275498009999998850e+00, 2.574876688565451432e-02
5.456631237268518453e+04, 5.201298204000003977e+00, 2.555873490225320580e-02
5.456631375000000116e+04, 5.295191234000000691e+00, 2.609856809216528489e-02
5.456631511574074102e+04, 5.230234108000000326e+00, 2.641439238986188764e-02
5.456631648148148088e+04, 5.163797695999997828e+00, 2.499100531908479694e-02
5.456631787037036702e+04, 5.313996579999997749e+00, 2.571007091416669527e-02
5.456631924768518365e+04, 5.226275808000000467e+00, 2.492080220432997192e-02
5.456632062500000029e+04, 5.662737937999998472e+00, 3.672136631863848200e-02
5.456632229166666366e+04, 5.551126099999995844e+00, 6.967580538612502816e-02
5.435511424768518191e+04, 5.213882079999996755e+00, 1.000061910994717168e-01
5.435793223379629490e+04, 1.531669721640000716e+02, 1.454268378773117876e+00
5.435902512731481693e+04, 5.337995171999995847e+00, 2.592883551176065199e-02
5.436273837962962716e+04, 1.109660871399999849e+01, 1.520748212148834433e-01
5.436292472222222568e+04, 5.256210429999995881e+00, 2.554280772581927692e-02
5.436386643518518395e+04, 5.223683052000001936e+00, 2.523437644390224416e-02
5.438304368055555824e+04, 7.474315947999994769e+00, 8.724226970493087485e-02
5.438314843750000000e+04, 5.395997075999996895e+00, 2.632899813311740875e-02
5.438318927083333256e+04, 5.351996878000000457e+00, 2.608882185155008207e-02
5.438319810185184906e+04, 5.369820901999994511e+00, 2.572608021176591223e-02
5.438323216435185168e+04, 5.421203317999993665e+00, 2.853756496539094564e-02
5.438389815972222277e+04, 5.318094064000003840e+00, 2.584992217831612316e-02
5.438495990740740672e+04, 5.305880633999989548e+00, 2.576384195579061245e-02
5.438875606481481373e+04, 5.300281494000000926e+00, 2.561948798749048503e-02
5.438876236111111211e+04, 5.349444819999997769e+00, 2.496759636554586603e-02
5.438877081018518220e+04, 7.500407223999993711e+00, 1.172834999426420333e-01
5.438877755787037313e+04, 5.269976473999993694e+00, 2.507070171713942849e-02
5.439065866898147942e+04, 5.381503451999995136e+00, 2.594855241493406600e-02
5.439066908564815094e+04, 5.552532333999999459e+00, 3.498623595992868263e-02
5.439574293981481605e+04, 5.258719981999996129e+00, 2.532025640755952017e-02
