# #MJD, AbsGain, AbsGainErr
5.442570195601852174e+04, 1.041189489600000506e+01, 2.336849866262744047e-01
5.443378802083332994e+04, 5.343579359999999667e+00, 2.613560164855999526e-02
5.443770569444444118e+04, 8.993451779999999118e+00, 1.599759516840424389e-01
5.443867253472222365e+04, 9.606647425999989665e+00, 1.538307340683138791e-01
5.443962944444444292e+04, 7.466445959999995274e+00, 1.194555351566210927e-01
5.444068972222222510e+04, 7.921061520000006517e+00, 1.398963033059627270e-01
5.444186565972222161e+04, 5.660824525999998080e+00, 3.519893165765612675e-02
5.444869547453703854e+04, 6.028270920000002420e+00, 5.445942633060264770e-02
5.445117274305555475e+04, 5.528062679999997009e+00, 3.156793301847189009e-02
5.445119277777777461e+04, 5.198633322000001833e+00, 2.481723414424515106e-02
5.445275219907407154e+04, 5.316980434000003974e+00, 3.014272028620281624e-02
5.445398362268518395e+04, 5.238664527999999265e+00, 2.473958951561715941e-02
5.445489976851851679e+04, 1.095652399999999638e+01, 2.033825712893028159e-01
5.446362932870370423e+04, 5.556246560000003498e+00, 2.827072285064842483e-02
5.446462902777778072e+04, 6.967366710000000296e+00, 8.852634341926576833e-02
5.446562906249999651e+04, 5.248278665999995596e+00, 2.606877281974755156e-02
5.446684479166667006e+04, 1.132561365000000819e+01, 2.644126109342261333e-01
5.446763559027777956e+04, 7.639841134000008971e+00, 1.094505560416857703e-01
5.446862960648148146e+04, 1.588366652000000734e+01, 4.950825887446507201e-01
5.447270403935185459e+04, 5.930741617999996329e+00, 4.943769333321620940e-02
5.447462890046296525e+04, 5.404377799999997123e+00, 2.782343654967634611e-02
5.447562937499999680e+04, 5.415464899999999915e+00, 3.112972047918022983e-02
5.447662914351851941e+04, 5.086761988000000123e+00, 2.538946695062780853e-02
5.447762907407407329e+04, 5.108143580000001016e+00, 2.382330560209107786e-02
5.447862925925925811e+04, 5.377897160000009613e+00, 3.366459345883539983e-02
5.447962895833333459e+04, 5.236206980000005728e+00, 2.653968309264518460e-02
5.448062921296296554e+04, 5.021802279999999286e+00, 2.343973426147239261e-02
5.449193543981481344e+04, 5.164336932000003877e+00, 2.175825667185621315e-02
5.449162900462962716e+04, 1.930978568779999875e+02, 8.415918948355367135e+00
5.449462894675925781e+04, 5.174897632000002190e+00, 2.782019895073602200e-02
