RunID,Tel,AbsGainMean,AbsGainErr,run_type,Time,CFD
63708,0,5.610065230769229,0.009546095305380907,flasher,2012-09-27 08:52:21,45.5016228180709
63708,1,5.642134435810813,0.01024287049671248,flasher,2012-09-27 08:52:21,45.5016228180709
63708,2,5.5605407123745785,0.009901928413560664,flasher,2012-09-27 08:52:21,45.5016228180709
63708,3,5.904347645484947,0.010354221026237705,flasher,2012-09-27 08:52:21,45.5016228180709
63828,0,5.396321825503355,0.008508461926174554,flasher,2012-10-06 05:04:15,45.668192195360106
63828,1,5.603200206081081,0.010308166731868138,flasher,2012-10-06 05:04:15,45.668192195360106
63828,2,5.458732993288592,0.009009387796697951,flasher,2012-10-06 05:04:15,45.668192195360106
63828,3,5.933975124161076,0.010714565643008482,flasher,2012-10-06 05:04:15,45.668192195360106
63862,0,5.493171926174501,0.008977814565719949,flasher,2012-10-07 04:53:04,45.59149321611722
63862,1,5.639228878378376,0.010966430767481355,flasher,2012-10-07 04:53:04,45.59149321611722
63862,2,5.533040687919463,0.010343737808580855,flasher,2012-10-07 04:53:04,45.59149321611722
63862,3,5.97292225167786,0.011749210994344646,flasher,2012-10-07 04:53:04,45.59149321611722
63943,0,5.423279828859061,0.008789490576069288,flasher,2012-10-09 07:21:18,45.743020903540994
63943,1,5.537467969594597,0.011035009598734736,flasher,2012-10-09 07:21:18,45.743020903540994
63943,2,5.4595294208754215,0.009316659720219993,flasher,2012-10-09 07:21:18,45.743020903540994
63943,3,5.891312620805367,0.011281206490106327,flasher,2012-10-09 07:21:18,45.743020903540994
63973,0,5.4623386020066915,0.008998346545384065,flasher,2012-10-10 05:04:08,45.49707103296696
63973,1,5.5428133468013465,0.010749338882343765,flasher,2012-10-10 05:04:08,45.49707103296696
63973,2,5.48219111409396,0.009868725345918778,flasher,2012-10-10 05:04:08,45.49707103296696
63973,3,5.920416701342278,0.011521980210117315,flasher,2012-10-10 05:04:08,45.49707103296696
64007,0,5.424447466442954,0.008740644016295785,flasher,2012-10-11 04:58:43,45.65746462515264
64007,1,5.563555104377106,0.01155740726834822,flasher,2012-10-11 04:58:43,45.65746462515264
64007,2,5.496534114093954,0.01020351916157325,flasher,2012-10-11 04:58:43,45.65746462515264
64007,3,5.945349194630871,0.011959263526384718,flasher,2012-10-11 04:58:43,45.65746462515264
64045,0,5.6036292876254175,0.01017737371687221,flasher,2012-10-12 11:15:25,45.737736341880286
64045,1,5.675575397306397,0.011022868701965671,flasher,2012-10-12 11:15:25,45.737736341880286
64045,2,5.683206852348992,0.00986635167429208,flasher,2012-10-12 11:15:25,45.737736341880286
64045,3,6.1509001879194605,0.012325587409112763,flasher,2012-10-12 11:15:25,45.737736341880286
64079,0,5.570413312080537,0.009765206935524507,flasher,2012-10-13 10:45:23,45.737736341880286
64079,1,5.665472252525247,0.011392756392628076,flasher,2012-10-13 10:45:23,45.737736341880286
64079,2,5.6662301610738215,0.01136157336423016,flasher,2012-10-13 10:45:23,45.737736341880286
64079,3,6.0370230805369065,0.012665291602942576,flasher,2012-10-13 10:45:23,45.737736341880286
64246,0,5.348935745819401,0.009426141353338632,flasher,2012-10-20 06:00:25,45.737736341880286
64246,1,5.499959385135132,0.012215854929826271,flasher,2012-10-20 06:00:25,45.737736341880286
64246,2,5.4875858160535165,0.011383085302716528,flasher,2012-10-20 06:00:25,45.737736341880286
64246,3,5.7760019328859045,0.01337557107723718,flasher,2012-10-20 06:00:25,45.737736341880286
64318,0,5.482220053511708,0.01017643865194664,flasher,2012-10-22 07:41:38,45.52943444200253
64318,1,5.625963481481477,0.012668580517651544,flasher,2012-10-22 07:41:38,45.52943444200253
64318,2,5.573642257525085,0.011723320928851713,flasher,2012-10-22 07:41:38,45.52943444200253
64318,3,5.894545774410776,0.013637275294389878,flasher,2012-10-22 07:41:38,45.52943444200253
64406,0,5.630804624161067,0.010507458999121384,flasher,2012-10-25 09:45:25,45.71599232234446
64406,1,5.771959676767674,0.013532363820490731,flasher,2012-10-25 09:45:25,45.71599232234446
64406,2,5.726781882550338,0.011872547112257879,flasher,2012-10-25 09:45:25,45.71599232234446
64406,3,6.052337567114093,0.013969700590222784,flasher,2012-10-25 09:45:25,45.71599232234446
64436,0,5.598108571906357,0.013238240634605476,flasher,2012-10-26 09:03:09,45.632728263736325
64436,1,5.569975319865322,0.01349195238399469,flasher,2012-10-26 09:03:09,45.632728263736325
64436,2,5.593130100671144,0.012227900239059874,flasher,2012-10-26 09:03:09,45.632728263736325
64436,3,5.826399381270901,0.014311882359482385,flasher,2012-10-26 09:03:09,45.632728263736325
64475,0,5.514117342281881,0.010408773326346177,flasher,2012-10-27 11:36:03,45.59238095238105
64475,1,5.677357599326602,0.013416223731899213,flasher,2012-10-27 11:36:03,45.59238095238105
64475,2,5.560679525252528,0.011257740920549996,flasher,2012-10-27 11:36:03,45.59238095238105
64475,3,5.9182047104377125,0.013607067452803887,flasher,2012-10-27 11:36:03,45.59238095238105
64535,0,5.5251019261744965,0.011396513842203948,flasher,2012-11-03 03:08:23,45.64310200732602
64535,1,5.597552670033673,0.013893459909641026,flasher,2012-11-03 03:08:23,45.64310200732602
64535,2,5.533379581939802,0.012290082907110426,flasher,2012-11-03 03:08:23,45.64310200732602
64535,3,5.871588748322147,0.014743385495997172,flasher,2012-11-03 03:08:23,45.64310200732602
64546,0,5.586824595317721,0.013099751334114907,flasher,2012-11-04 04:20:29,45.64310200732602
64546,1,5.6278439797979765,0.013789983596817951,flasher,2012-11-04 04:20:29,45.64310200732602
