280.1, 0.0005185
282.3, 0.001390
284.5, 0.001813
286.6, 0.001787
288.8, 0.001312
291.0, 0.0003873
293.2, 0.0003610
295.3, 0.0003348
297.5, 0.0003085
299.7, 0.0007314
302.0, 0.001601
304.0, 0.002475
306.2, 0.006940
308.5, 0.01473
307.7, 0.008269
310.6, 0.02609
310.2, 0.01632
312.0, 0.03685
314.3, 0.05157
314.2, 0.04187
314.2, 0.03581
316.4, 0.06003
316.0, 0.04859
316.0, 0.04050
315.6, 0.03512
317.1, 0.07148
318.7, 0.07954
318.5, 0.06652
320.1, 0.09299
320.9, 0.08019
320.0, 0.06875
322.2, 0.09701
322.2, 0.08758
322.7, 0.07572
324.3, 0.1091
324.0, 0.1010
323.6, 0.09295
323.6, 0.08487
325.0, 0.1262
324.7, 0.1172
325.8, 0.1347
326.6, 0.1565
326.5, 0.1459
326.5, 0.1387
327.7, 0.1324
328.7, 0.1535
328.3, 0.1441
329.5, 0.1834
329.4, 0.1728
329.4, 0.1647
329.4, 0.1575
328.7, 0.1373
331.7, 0.1676
331.3, 0.1584
330.8, 0.1535
332.5, 0.1764
333.9, 0.1625
333.4, 0.1562
334.6, 0.1860
334.5, 0.1755
334.5, 0.1696
336.6, 0.1700
336.6, 0.1620
336.6, 0.1539
336.6, 0.1462
338.1, 0.1878
337.7, 0.1763
339.7, 0.2005
340.4, 0.2113
340.3, 0.1907
341.7, 0.1985
342.6, 0.2183
342.4, 0.2077
342.7, 0.1870
344.1, 0.1971
344.8, 0.1843
344.6, 0.1740
344.1, 0.1650
345.3, 0.2106
346.3, 0.1991
346.8, 0.2184
347.0, 0.2045
347.5, 0.2112
347.9, 0.1957
348.6, 0.2031
349.7, 0.2196
349.0, 0.2112
350.4, 0.2534
350.4, 0.2453
350.4, 0.2372
350.4, 0.2300
352.6, 0.2307
352.6, 0.2210
352.2, 0.2132
353.3, 0.2603
352.9, 0.2489
352.9, 0.2408
354.2, 0.2774
354.0, 0.2677
355.5, 0.2573
355.5, 0.2785
355.5, 0.2704
355.8, 0.2461
355.8, 0.2381
355.9, 0.2300
355.7, 0.2201
356.9, 0.2138
356.8, 0.2036
358.4, 0.1969
358.4, 0.1877
358.0, 0.1788
357.7, 0.1747
359.2, 0.2660
359.1, 0.2551
359.1, 0.2479
358.7, 0.2394
358.8, 0.2313
358.8, 0.2232
358.8, 0.2151
358.8, 0.2070
359.8, 0.2775
361.4, 0.2676
361.3, 0.2569
361.3, 0.2488
361.3, 0.2407
361.1, 0.2326
362.7, 0.2865
362.7, 0.2784
363.5, 0.2721
364.7, 0.3211
364.9, 0.2900
364.5, 0.2811
365.8, 0.3368
364.9, 0.3296
365.3, 0.3134
365.3, 0.3053
365.3, 0.2972
366.3, 0.3556
366.3, 0.3475
367.8, 0.3376
367.6, 0.3282
368.7, 0.3214
368.2, 0.3134
369.4, 0.3608
369.2, 0.3502
369.2, 0.3421
370.1, 0.3315
370.7, 0.3261
370.7, 0.3591
371.1, 0.3510
371.4, 0.3430
371.8, 0.3349
371.8, 0.3187
372.2, 0.3088
372.1, 0.3268
372.9, 0.2998
372.9, 0.2850
372.9, 0.2747
373.8, 0.2653
374.5, 0.2924
375.2, 0.3254
374.7, 0.3146
374.7, 0.3065
374.3, 0.2998
374.7, 0.2823
374.7, 0.2756
375.8, 0.3375
377.2, 0.4183
377.2, 0.4103
377.2, 0.4022
377.4, 0.3927
376.8, 0.3860
376.8, 0.3779
376.8, 0.3698
376.9, 0.3618
376.9, 0.3537
376.9, 0.3456
376.9, 0.3308
376.5, 0.3227
377.6, 0.4264
378.2, 0.3384
378.7, 0.4075
378.7, 0.3995
379.4, 0.3878
379.4, 0.3797
379.4, 0.3716
379.4, 0.3635
379.4, 0.3554
379.4, 0.3474
379.0, 0.3301
380.1, 0.3379
381.2, 0.3846
381.2, 0.3765
381.2, 0.3684
381.2, 0.3604
381.2, 0.3523
381.2, 0.3442
381.3, 0.3303
381.2, 0.3199
381.6, 0.3119
381.9, 0.3024
382.0, 0.2943
382.0, 0.2862
382.0, 0.2782
382.0, 0.2701
382.0, 0.2620
382.0, 0.2539
382.3, 0.2454
383.2, 0.2377
383.1, 0.2279
382.9, 0.2189
383.4, 0.2135
384.6, 0.3412
384.5, 0.3302
384.5, 0.3221
384.5, 0.3141
384.1, 0.3064
384.1, 0.2983
384.1, 0.2903
384.1, 0.2822
384.1, 0.2741
384.1, 0.2660
384.1, 0.2579
384.1, 0.2498
386.7, 0.3392
386.7, 0.3311
386.7, 0.3235
386.4, 0.3140
388.8, 0.3872
388.8, 0.3773
388.8, 0.3428
388.5, 0.3320
388.5, 0.3246
388.1, 0.3185
389.5, 0.4020
388.8, 0.3939
389.2, 0.3683
389.2, 0.3603
389.2, 0.3522
390.4, 0.4284
389.9, 0.4195
389.9, 0.4114
391.1, 0.4494
391.0, 0.4388
391.7, 0.4289
392.1, 0.4209
392.1, 0.4128
392.1, 0.4047
392.1, 0.3966
392.1, 0.3885
392.1, 0.3804
392.1, 0.3723
392.5, 0.3643
392.5, 0.3562
392.5, 0.3481
392.5, 0.3400
392.5, 0.3319
392.5, 0.3238
392.5, 0.3158
392.1, 0.3077
392.1, 0.2996
392.1, 0.2915
392.5, 0.2816
393.4, 0.2733
393.2, 0.2637
393.2, 0.2556
393.2, 0.2475
393.2, 0.2394
393.2, 0.2313
393.2, 0.2232
393.2, 0.2152
393.2, 0.2071
393.2, 0.1990
393.2, 0.1927
394.6, 0.3912
394.6, 0.3831
394.6, 0.3750
394.6, 0.3674
394.6, 0.3588
