# updated 2023/01/01
* V 3
MGRO J1908+06           19 07 54        +06 16 07       UNID    2007.08         Default Catalog
SS433 E1                19 13 36.96     04 55 48.0      E1      2023            TK
SS433 W1                19 10 36.96 	05 02 13.2      W1      2023            TK
SS433 W2                19 09 45.00 	05 02 24.0      W2      2023            TK
