# unknown date
* V 3
HESS J1708-443         17 08 10 	-44 21 00	PWN	07.01.2009	2.3 kpc	Newly Announced
HESS J1708-410         17 08 24  	-41 05 24	UNID	01.01.2006		Default Catalog
RX J1713.7-3946        17 13 33 	-39 45 36	Shell	02.01.2000	1 kpc	Default Catalog
CTB 37B                17 13 58.0	-38 12 00	Shell	01.01.2006	10.2 kpc	Default Catalog
CTB 37A                17 14 19 	-38 34 00	Shell	11.01.2008	10.3 kpc	Default Catalog
HESS J1718-385         17 18 07 	-38 33 00	PWN	09.01.2007	4.2 kpc	Default Catalog
HESS J1731-347         17 31 55 	-34 42 36	UNID	07.01.2007		Default Catalog
HESS J1741-302         17 41 00	        -30 10 00	UNID	07.01.2008		Newly Announced
HESS J1745-303         17 45 02.2	-30 22 14	UNID	01.01.2006		Default Catalog
GalCentreRidge         17 45 41.3	-29 00 22	UNID	02.01.2006	8.5 kpc	Default Catalog
Galactic Centre        17 45 41.3	-29 00 22	UNID	05.01.2004	8.5 kpc	Default Catalog
G0.9+0.1               17 47 23.2	-28 09 06	PWN	03.01.2005	8.5 kpc	Default Catalog
HESS J1800-240B        18 00 26  	-24 02 20.4	Other	04.01.2008	2 kpc	Default Catalog
W28                    18 01 42 	-23 20 06.0	Shell	04.01.2008	2 kpc	Default Catalog
HESS J1800-240A        18 01 58 	-23 57 43.2	Other	04.01.2008	2 kpc	Default Catalog
HESS J1804-216         18 04 32.4	-21 42 05.5	UNID	03.01.2005	6 kpc	Default Catalog
HESS J1809-193         18 10 31 	-19 18 00	PWN	09.01.2007	3.7 kpc	Default Catalog
HESS J1813-178         18 13 36.6	-17 50 35	PWN	03.01.2005	4.7 kpc	Default Catalog
HESS J1825-137         18 26 03.0	-13 45 44.3	PWN	03.01.2005	3.9 kpc	Default Catalog
LS 5039                18 26 15	        -14 50 54	BIN	07.01.2005	2.5 kpc	Default Catalog
HESS J1833-105         18 33 32.5	-10 33 19	PWN	
HESS J1834-087         18 34 46.5	-08 45 52	UNID	03.01.2005	4 kpc	Default Catalog
HESS J1837-069         18 37 37.4	-06 56 42	UNID	03.01.2005		Default Catalog
HESS J1841-055         18 40 55  	-05 33 00	UNID	07.01.2007		Default Catalog
HESS J1843-033         18 43 00	        -03 00 00	UNID	07.01.2008		Newly Announced
HESS J1846-029         18 46 24.1	-02 58 53	PWN	
HESS J1848-018         18 48 29	        -01 47 32.3 	WR	07.01.2008	5.3 kpc	Newly Announced
IGR J18490-0000        18 49 01   	-00 01 17	PWN	07.01.2008		Newly Announced
HESS J1857+026         18 57 11	        +02 40 00	UNID	07.01.2007		Default Catalog
HESS J1858+020         18 58 20  	+02 05 24	UNID	07.01.2007		Default Catalog
MGRO J1908+06          19 07 54  	+06 16 07	UNID	08.01.2007		Default Catalog
HESS J1912+101         19 12 49 	+10 09 06	PWN	02.01.2008		Default Catalog
HESS J1923+141         19 23 04.80	+14 11 24.0 	PWN	10.01.2008		Newly Announced
G54.1+0.3              19 30 30   	+18 52 14	PWN	07.01.2009	6.2 kpc	Newly Announced
1ES 1959+650           19 59 59.9	+65 08 55	HBL	08.01.1999	z = 0.048	Default Catalog
PKS 2005-489           20 09 29.3	-48 49 19	HBL	06.01.2005	z = 0.071	Default Catalog
MGRO J2019+37          20 19 19.2	+36 49 48	PWN	03.01.2007		Default Catalog
VER J2019+407          20 19 52.80	+40 47 24.0	UNID	11.01.2009		Newly Announced
MilagroDiffuse         20 20 00  	+38 00 00	UNID	12.01.2005		Default Catalog
MGRO J2031+41          20 31 43 	+40 40 00	UNID	08.01.2007		Default Catalog
TeV J2032+4130         20 32 20 	+41 30 36.0	UNID	10.01.2002		Default Catalog
PKS 2155-304           21 58 52.7	-30 13 18	HBL	06.01.1999	z = 0.116	Default Catalog
BL Lacertae            22 02 43.3	+42 16 40	LBL	04.01.2001	z = 0.069	Default Catalog
G106.3+2.7             22 27 59 	+60 52 37	Shell	07.01.2009	0.8 kpc	Default Catalog
Boomerang              22 28 44 	+61 10  	PWN	04.01.2009	0.8 kpc	Default Catalog
Cassiopeia A           23 23 24 	+58 48 54	Shell	04.01.2001	3.4 kpc	Default Catalog
1ES 2344+514           23 47 04.8	+51 42 18	HBL	07.01.1998	z = 0.044	Default Catalog
H 2356-309             23 59 09 	-30 37 22	HBL	04.01.2006	z = 0.165	Default Catalog
