#  FERMI ALL-SKY VARIABILITY ANALYSIS (FAVA) 
#  Ackermann et al (The Astrophysical Journal, 771:57 (12pp), 2013 July 1)
# Fava ID , RA (J2000.0) , Dec (J2000.0) , # HE Flares , # Neg. Flares , LAT Assoc. , Assoc. , Atel # ,
* V 14
J0525+16 , 05 25 11.8 , +16 00 36.0 , 0 , 0 , none , none , 0 ,
J0532+21 , 05 32 55.2 , +21 36 00.0 , 1 , 0 , 2FGL_J0534.5+2201 , PSR_J0534+2200 , 0 ,
J0533+07 , 05 33 02.2 , +07 13 48.0 , 3 , 0 , 2FGL_J0532.7+0733 , OG_050 , 0 ,
J0532-48 , 05 32 57.5 , -48 24 35.9 , 7 , 0 , 2FGL_J0532.0-4826 , PMN_J0531-4827 , 0 ,
J0536-44 , 05 36 16.7 , -44 15 35.9 , 10 , 1 , 2FGL_J0538.8-4405 , PKS_0537-441 , 0 ,
J0537+13 , 05 38 00.0 , +13 58 12.0 , 2 , 0 , Fermi_J0539+1432 , TXS_0536+145 , 3999 ,
J0537-54 , 05 37 28.8 , -54 57 36.0 , 1 , 0 , 2FGL_J0540.4-5415 , PKS_0539-543 , 0 ,
J0539-34 , 05 39 33.6 , -34 12 36.0 , 0 , 0 , 2FGL_J0536.2-3348 , 1RXS_J053629.4-33430 , 0 ,
J0604-70 , 06 04 19.2 , -70 16 48.0 , 1 , 0 , 2FGL_J0601.1-7037 , PKS_0601-70 , 0 ,
J0622+33 , 06 22 36.0 , +33 37 48.0 , 13 , 0 , 2FGL_J0622.9+3326 , B2_0619+33 , 0 ,
J0628-20 , 06 28 45.4 , -20 10 47.9 , 3 , 0 , 2FGL_J0629.3-2001 , PKS_0627-199 , 0 ,
J0640+05 , 06 40 26.4 , +05 46 48.0 , 1 , 0 , Fermi_J0639+0548 , Nova_Mon_2012 , 4224 ,
J0646-30 , 06 46 59.9 , -30 11 59.9 , 0 , 0 , Fermi_J0648-3044 , PKS_0646-306 , 3878 ,
J0652+45 , 06 52 09.6 , +45 04 12.0 , 3 , 0 , 2FGL_J0654.2+4514 , B3_0650+453 , 0 ,
J0703-46 , 07 03 31.1 , -46 44 24.0 , 1 , 0 , 2FGL_J0701.7-4630 , PKS_0700-465 , 0 ,
J0712+19 , 07 12 11.9 , +19 30 00.0 , 2 , 0 , 2FGL_J0714.0+1933 , MG2_J071354+1934 , 0 ,
J0717+71 , 07 17 50.3 , +71 08 24.0 , 8 , 3 , 2FGL_J0721.9+7120 , S5_0716+71 , 0 ,
J0720+33 , 07 20 33.6 , +33 04 47.9 , 3 , 0 , 2FGL_J0719.3+3306 , B2_0716+33 , 0 ,
J0724+14 , 07 24 36.0 , +14 08 24.0 , 8 , 1 , 2FGL_J0725.3+1426 , 4C_+14.23 , 0 ,
J0728-11 , 07 28 57.4 , -11 42 36.0 , 0 , 0 , 2FGL_J0730.2-1141 , PKS_0727-11 , 0 ,
J0730+36 , 07 30 28.8 , +36 58 47.9 , 1 , 0 , none , none , 0 ,
J0740+54 , 07 40 43.2 , +54 57 36.0 , 5 , 0 , 2FGL_J0742.6+5442 , GB6_J0742+5444 , 0 ,
J0746+01 , 07 46 11.9 , +01 33 36.0 , 0 , 0 , 2FGL_J0739.2+0138 , PKS_0736+01 , 0 ,
J0747+24 , 07 47 40.8 , +24 10 12.0 , 1 , 0 , none , none , 0 ,
J0759-56 , 07 59 19.1 , -56 27 00.0 , 1 , 0 , GRB080916C , none , 0 ,
J0804+61 , 08 04 04.7 , +61 31 48.0 , 1 , 0 , 2FGL_J0805.5+6145 , TXS_0800+618 , 0 ,
J0806+52 , 08 05 59.9 , +52 42 00.0 , 1 , 0 , none , none , 0 ,
