* V 9
164.029	2.87081	RBS0921
17.52	41.8308	RGB j0110+418
28.1658	1.78855	RGB J0152+017
104.045	42.6174	RGB J0656+426
110.473	71.3434	RGB J0721+713
131.804	11.5639	RGB J0847+115
153.185	42.4997	RGB J1012+424
205.27	39.995	RGB J1341+399
219.823	39.5452	RGB J1439+395
233.009	30.2747	RGB J1532+302
350.683	34.6039	RGB J2322+346
28.3579	71.2518	RGBJ0153+712
33.575	51.7478	RGBJ0214+517
48.5116	24.7419	RGBJ0314+247
100.862	42.2386	RGBJ0643+422
107.625	59.1392	RGBJ0710+591
127.954	4.49417	RGBJ0831+044
164.657	56.4697	RGBJ1058+564
213.433	43.6625	RGBJ1413+436
261.268	11.8708	RGBJ1725+118
201.562	29.5589	RX J1326.2 +2933
137.655	33.4903	RXJ0910.6+3329
164.657	56.4697	RXJ1058.6+5628
169.276	20.2353	RXJ1117.1+2014
174.125	67.6178	RXJ1136.5+6737
182.994	22.7089	RXJ1211.9+2242
315.899	45.7515	SAXJ2103.5+4545
151.767	16.082	SEGUE 1
266.417	-29.0078	Sgr A*
74.7138	51.8411	SNR G156.2+05.7
308.029	41.5083	TeVJ2032+4130
83.8186	-5.38976	Theta1 Ori C
137.655	33.4901	TON1015
6.28374	64.1655	Tycho
227.297	67.2144	Ursa Minor
84.7275	26.3158	V* V725 Tau
185.382	28.2331	W Comae
284.035	1.29947	W44
290.925	14.5092	W51
304.75	45.7	W63
162.413	51.0394	WilmanI
309.182	40.3519	WR147
169.545	48.037	XTE J1118+480
