#Source Name,R.A.,Decl.,l,b,95% conf. radius,Sqrt TS,Flux (100MeV-1GeV),Flux Unc. (100MeV-1GeV),Flux (1GeV-100GeV),Flux Unc. (1GeV-100GeV),Variability Flag,Sqrt TS (100MeV-1GeV),Sqrt TS (1GeV-100GeV),Gamma Assoc. 1,Gamma Assoc. 2,Gamma Assoc. 3,Class,Alt. Class,Assoc. 1,Assoc. 2
#
# Fermi catalogue released 20090209
#
# (see http://fermi.gsfc.nasa.gov/ssc/data/access/lat/bright_src_list/)
#
* V 11
0FGL J0238.6+1636,39.663,16.613,156.775,-39.112,0.052,85.700,6.070e-07,2.100e-08,6.810e-08,2.900e-09,T,64.300,62.500,3EG J0237+1635,,,bzb,,CGRaBS J0238+1636,AO 0235+164,
0FGL J0240.3+6113,40.094,61.225,135.661,1.075,0.069,42.300,7.030e-07,2.500e-08,3.340e-08,2.300e-09,T,37.400,27.600,EGR J0240+6112       ,1AGL J0242+6111      ,,HXB,,LS I+61 303,,
0FGL J0245.6-4656,41.423,-46.934,262.019,-60.098,0.192,11.400,5.300e-08,8.000e-09,3.200e-09,7.000e-10,F,9.000,8.100,,,,bzu,,CRATES J0246-4651,PKS 0244-470,
0FGL J0303.7-2410,45.940,-24.176,214.764,-60.119,0.174,12.300,2.500e-08,9.000e-09,3.800e-09,8.000e-10,F,7.800,10.200,,,,bzb,,CRATES J0303-2407,PKS 0301-243,
0FGL J0320.0+4131,50.000,41.524,150.601,-13.230,0.086,29.700,1.660e-07,1.400e-08,1.600e-08,1.500e-09,T,21.600,22.600,,,,rdg,,CGRaBS J0319+4130,NGC 1275,
0FGL J0334.1-4006,53.546,-40.107,244.711,-54.088,0.152,13.200,4.500e-08,1.400e-08,3.900e-09,8.000e-10,F,9.000,10.700,,,,bzb,,CGRaBS J0334-4008,PKS 0332-403,
0FGL J0349.8-2102,57.465,-21.046,214.385,-49.035,0.157,21.200,1.670e-07,1.600e-08,5.600e-09,9.000e-10,F,20.400,10.900,,,,bzq,,CGRaBS J0349-2102,PKS 0347-211,
0FGL J0357.5+3205,59.388,32.084,162.712,-16.056,0.147,14.900,1.040e-07,1.800e-08,6.400e-09,1.000e-09,F,13.600,10.500,,,,PSR,,LAT PSR J0357+32,,
0FGL J0407.6-3829,61.923,-38.491,241.360,-47.751,0.142,13.500,6.500e-08,1.300e-08,4.100e-09,8.000e-10,T,11.200,9.600,,,,bzu,,CRATES J0406-3826,PKS 0405-385,
0FGL J0412.9-5341,63.230,-53.686,263.001,-44.716,0.206,10.700,5.700e-08,1.300e-08,2.900e-09,7.000e-10,F,8.800,7.900,,,,bzu,,CRATES J0413-5332,,
0FGL J0423.1-0112,65.785,-1.204,195.131,-33.092,0.143,11.500,1.010e-07,3.100e-08,3.800e-09,8.000e-10,F,10.300,8.800,3EG J0422-0102,,,bzq,,CGRaBS J0423-0120,PKS 0420-014,
0FGL J0428.7-3755,67.193,-37.923,240.689,-43.597,0.080,39.600,2.110e-07,1.600e-08,1.990e-08,1.700e-09,F,28.400,29.600,,,,bzb,,CGRaBS J0428-3756,PKS 0426-380,
0FGL J0449.7-4348,72.435,-43.815,248.780,-39.859,0.082,28.400,1.090e-07,1.400e-08,1.250e-08,1.300e-09,F,16.900,23.800,,,,bzb,,CRATES J0449-4350,PKS 0447-439,
0FGL J0457.1-2325,74.288,-23.432,223.739,-34.880,0.065,52.300,3.400e-07,1.800e-08,2.610e-08,1.900e-09,T,43.000,34.500,3EG J0456-2338,EGR J0456-2334       ,,bzq,,CGRaBS J0457-2324,PKS 0454-234,
0FGL J0507.9+6739,76.985,67.650,143.772,15.905,0.058,13.200,5.400e-08,0.000e+00,2.700e-09,6.000e-10,F,4.800,12.500,,,,bzb,,BZB J0507+6737,1ES 0502+675,
0FGL J0516.2-6200,79.063,-62.000,271.376,-34.834,0.181,11.200,1.040e-07,0.000e+00,4.200e-09,8.000e-10,F,6.700,10.000,3EG J0512-6150,,,bzu,,CGRaBS J0516-6207,PKS 0516-621,
0FGL J0531.0+1331,82.761,13.528,191.385,-10.992,0.133,17.300,2.290e-07,2.100e-08,7.600e-09,1.200e-09,T,16.500,10.600,3EG J0530+1323,EGR J0530+1331       ,,bzq,,CGRaBS J0530+1331,PKS 0528+134,
